Concepticon_ID_x,Concepticon_ID_y,clics_form_x,clics_form_y,cosine_similarity
1973,1075,demonyo,panghuli,0.19253188
1973,3320,demonyo,silo,0.15659122
1973,1342,demonyo,taginit,0.15665229
1973,1276,demonyo,taglagas,0.06897182
1973,1471,demonyo,taglamig,0.13737328
1973,977,demonyo,palaso,0.15331349
1973,1539,demonyo,bilao,0.07152953
1973,994,demonyo,busog,0.1546567
1973,245,demonyo,walis,0.061535418
1973,677,demonyo,palakol,0.18404026
1973,934,demonyo,kalabawramo,0.27605063
1973,1352,demonyo,kampit,0.29406762
1973,1895,demonyo,damit,0.12646273
1973,945,demonyo,sibat,0.09207533
1973,3321,demonyo,lanaw,0.16060258
1973,3324,demonyo,bakal,0.16453704
1973,3325,demonyo,perlas,0.1705607
1973,730,demonyo,ahas,0.34264612
1973,3154,demonyo,baboyramo,0.21793169
1973,3326,demonyo,katad,0.02528054
1973,1616,demonyo,kayo,0.16743518
1973,1927,demonyo,kawayanspinyspecies,0.19833435
1973,2680,demonyo,gulok,0.21217027
1973,846,demonyo,tigre,0.2004232
1175,1252,multo,bahay,0.2565286
1175,930,multo,nayon,0.1121379
1175,1669,multo,nuno,0.18918097
1175,823,multo,mangkukulam,0.31820476
1175,1343,multo,araw,0.14482963
1175,1313,multo,buwan,0.13475932
1175,1430,multo,bituwin,0.17710085
1175,1793,multo,kabag,0.14337294
1175,937,multo,ibon,0.092058696
1175,1490,multo,daga,0.12852791
1175,2348,multo,alimango,0.13022462
1175,1350,multo,matsing,0.095001146
1175,862,multo,asukal,0.055599507
1175,2769,multo,karnengbaboy,0.19650595
1175,665,multo,pukyutan,0.12555102
1175,1100,multo,lutu,0.14778906
1175,1261,multo,awit,0.120191164
1175,1435,multo,maghanap,0.15142225
1175,354,multo,bayo,0.028524792
1175,926,multo,bigas,0.052004576
1175,1191,multo,kanin,0.01550841
1175,748,multo,hasik,0.18635878
1175,146,multo,tubo,0.12741841
1175,1369,multo,ginto,0.14517465
1175,410,multo,kamote,0.072009824
1175,1844,multo,paraw,0.19333614
1175,1803,multo,kahoy,0.10126985
1175,3318,multo,gaodoar,0.0969085
1175,942,multo,pulotpukyutan,0.19636452
1175,1787,multo,panghabi,0.13659471
1175,634,multo,laman,0.11013371
1175,284,multo,asarol,0.071065925
1175,133,multo,habi,0.12570713
1175,140,multo,palayan,0.1292664
1175,1524,multo,alak,0.09817673
1175,2794,multo,linang,0.17433223
1175,225,multo,halo,0.052644063
1175,1537,multo,tagulan,0.16217595
1175,1075,multo,panghuli,0.16889744
1175,3320,multo,silo,0.09303038
1175,1342,multo,taginit,0.12296546
1175,1276,multo,taglagas,0.103996746
1175,1471,multo,taglamig,0.08727104
1175,977,multo,palaso,0.14153673
1175,1539,multo,bilao,0.05418535
1175,994,multo,busog,0.08037784
1175,245,multo,walis,0.15512636
1175,677,multo,palakol,0.11899452
1175,934,multo,kalabawramo,0.22334823
1175,1352,multo,kampit,0.18533237
1175,1895,multo,damit,0.15216094
1175,945,multo,sibat,0.089546636
1175,3321,multo,lanaw,0.19033656
1175,3324,multo,bakal,0.14167362
1175,3325,multo,perlas,0.022353001
1175,730,multo,ahas,0.20931706
1175,3154,multo,baboyramo,0.15885425
1175,3326,multo,katad,0.07267081
1175,1616,multo,kayo,0.12174779
1175,1927,multo,kawayanspinyspecies,0.20343752
1175,2680,multo,gulok,0.16775234
1175,846,multo,tigre,0.16748853
1252,930,bahay,nayon,0.32215428
1252,1669,bahay,nuno,0.2040075
1252,823,bahay,mangkukulam,0.23107386
1252,1343,bahay,araw,0.39682218
1252,1313,bahay,buwan,0.32582182
1252,1430,bahay,bituwin,0.18535285
1252,1793,bahay,kabag,0.21590963
1252,937,bahay,ibon,0.2536471
1252,1490,bahay,daga,0.29750746
1252,2348,bahay,alimango,0.19099888
1252,1350,bahay,matsing,0.12044523
1252,862,bahay,asukal,0.11314201
1252,2769,bahay,karnengbaboy,0.3749224
1252,665,bahay,pukyutan,0.31177887
1252,1100,bahay,lutu,0.297274
1252,1261,bahay,awit,0.19701828
1252,1435,bahay,maghanap,0.2415104
1252,354,bahay,bayo,0.13447276
1252,926,bahay,bigas,0.21258932
1252,1191,bahay,kanin,0.213161
1252,748,bahay,hasik,0.05349358
1252,146,bahay,tubo,0.23614511
1252,1369,bahay,ginto,0.18607216
1252,410,bahay,kamote,0.1921028
1252,1844,bahay,paraw,0.35462075
1252,1803,bahay,kahoy,0.35721645
1252,3318,bahay,gaodoar,0.1214716
1252,942,bahay,pulotpukyutan,0.39068493
1252,1787,bahay,panghabi,0.28705812
1252,634,bahay,laman,0.21439883
1252,284,bahay,asarol,0.3207303
1252,133,bahay,habi,0.09796103
1252,140,bahay,palayan,0.45193365
1252,1524,bahay,alak,0.28869206
1252,2794,bahay,linang,0.31633836
1252,225,bahay,halo,0.14309639
1252,1537,bahay,tagulan,0.37575537
1252,1075,bahay,panghuli,0.13166742
1252,3320,bahay,silo,0.1335672
1252,1342,bahay,taginit,0.2952708
1252,1276,bahay,taglagas,0.16894181
1252,1471,bahay,taglamig,0.25405765
1252,977,bahay,palaso,0.03677039
1252,1539,bahay,bilao,0.28293374
1252,994,bahay,busog,0.12398813
1252,245,bahay,walis,0.32610524
1252,677,bahay,palakol,0.2179448
1252,934,bahay,kalabawramo,0.4059717
1252,1352,bahay,kampit,0.28293735
1252,1895,bahay,damit,0.44530392
1252,945,bahay,sibat,0.11217467
1252,3321,bahay,lanaw,0.4213081
